16   17   9   14   5.14   4    9   54   35.32    3.92
16   17   8   14   0.71   3    8   46   31.78    3.87
18   12   8   14   3.57   5   11   46   30.66    3.30
18   17   8   14   2.79   4   12   45   30.52    3.78
18   17  10    5   6.00   4   11   47   30.27    3.28
18   18   9   14   4.14   2   11   61   38.72    4.08
18   17   9   14   3.57   3   11   51   34.09    3.40
18   17   8   14   2.64   3   12   43   28.12    3 82
18   17  10   14   2.51   3    7   51   34.29    3.64
18   19   8   14   3.93   4   11   55   37.07    3.79
18   17   8   14   3.64   4   10   50   33.80    3.23
18   18   9   14   4.12   3    6   55   35.79    3.16
18   17   7   14   2.21   4   12   64   43.96    3.41
18   17   8   14   3.93   4   12   49   34.55    3.93
18   18   8   14   4.00   4    9   55   35.58    3.21
18   16   9   14   4.29   3    9   47   28.64    3.57
18   19   9   14   3.71   5   12   61   38.94    3.07
19   11   8    2  11.67   3   12   53   37.01    3.08
19   18   9    7   2.06   0    9   45   29.98    3.05
19   17  10    9   5.20   4   11   47   29.60    3.53
19   17   8    6   3.71   3   12   46   30.84    3.35
19   12   9    7   3.13   3   12   52   33.58    3.08
19   17  10   14   2.88   4   12   53   34.65    4.06
19   17   9   14   2.93   3    9   39   27.01    3.69
19   17   8   14   2.57   4   12   54   35.32    3.07
19   19   9   14   2.88   4   12   39   25.31    4.46
19   17   8    4   3.40   3    7   53   36.55    3.14
19   16   9   14   4.36   3    9   55   36.21    3.80
19   17  10   14   2.43   1    8   54   36.38    2.95
19   15   7   14   4.00   3   11   47   31.53    3.54
19   13   7   14   3.79   4    8   50   32.82    3.34
19   16  10    5   5.83   5    9   51   35.56    3.38
19   19   9   14   2.88   5   11   54   35.53    3.25
19   17   7   14   2.57   2    8   62   42.00    3.09
19   17   8    3   4.25   4    4   52   33.58    3.65
20   18   9    5   7.04   5    9   47   30.10    3.90
20   17   8    8   6.22   3   12   40   26.58    4.78
20   17   9    9   2.60   4    9   45   31.65    4.49
20   18  12   14   1.43   4   12   53   33.82    2.98
20   17   9   14   3.57   5   10   45   29.63    3.56
20   18  10   14   1.36   5    9   48   30.93    3.66
20   19   7   14   3.00   5   10   55   36.42    2.98
20   18   8   14   3.79   4    9   51   34.92    3.45
21   15   9    6   6.57   5   10   57   37.14    2.72
22   19   8   14   3.29   5   11   46   30.66    3.24
22   16   8   14   5.14   5   10   53   37.01    3.49
22   16   9    5  14.17   5    9   54   36.82    3.42
22   14   9    5   6.33   2   11   50   33.20    3.48
22   12   8   14   4.86   3   10   51   34.50    2.66
22   12   8   14   3.21   4   10   49   32.52    3.53
22   16   9    5   5.17   3    9   46   30.13    2.97
22   10   8    3  10.00   2    9   47   30.80    3.63
24   16   9    5   3.50   2   10   43   27.64    4.41
25   19   9    6   3.57   1    9   42   26.54    4.49
25   17   8    5  10.00   5    9   36   22.57    4.22
25   20   8    4   4.98   5   12   41   27.26    3.80
25   16   9   14   4.57   5    8   43   27.79    4.01
25   18   8   14   2.71   5    6   37   26.74    5.07
25   16  10    3   3.50   5    8   32   21.88    6.41
25   17  11   14   5.71   5    9   31   21.70    5.97
26   17   9   14   3.86   3    9   52   29.24    3.54
26   14   9   14   2.50   2    7   39   28.22    4.18
26   19   9   14   3.56   5    9   35   24.32    4.61
26   17  10   14   3.76   5    9   48   33.47    5.96
26   16   8   14   2.71   5    9   36   24.42    4.03
26   16   8   14   3.64   5    9   41   28.60    4.71
27   15   8    1   6.00   4    9   42   32.30    4.38
27   18   8    9   5.60   5   11   53   38.69    4.13
27   18   8   14   3.71   5   10   47   35.15    3.12
27   20   7    9   2.44   5    9   49   32.71    3.39
28   18   7   14   3.98   5    9   51   33.94    3.03
28   14   8    4   7.40   5   11   44   30.74    5.09
